Experiment,Orifice width (um),Aspect ratio,Flow rate ratio,New_ca_number,Normalized oil inlet,Normalized water inlet,Expansion ratio,Qin,Observed droplet diameter (um),Norm size,Hyd_d,Norm hyd size,viscosity ratio
1,50,2,2.5,0.112903226,1,1.5,2,60,77,1.54,66.66666667,1.155,32.061069
2,50,2,1.5,0.112903226,1,1.5,2,100,81.6,1.632,66.66666667,1.224,32.061069
3,50,2,1.071428571,0.112903226,1,1.5,2,140,86,1.72,66.66666667,1.29,32.061069
4,50,2,1.3,0.097849462,1,1.5,2,100,87,1.74,66.66666667,1.305,32.061069
5,50,2,1.7,0.127956989,1,1.5,2,100,77.6,1.552,66.66666667,1.164,32.061069
6,50,2,1.9,0.143010753,1,1.5,2,100,74,1.48,66.66666667,1.11,32.061069
7,100,1,2.5,0.056451613,1,1.5,2,60,118.6,1.186,100,1.186,32.061069
8,100,1,1.5,0.056451613,1,1.5,2,100,127.2,1.272,100,1.272,32.061069
9,100,1,1.071428571,0.056451613,1,1.5,2,140,139.2,1.392,100,1.392,32.061069
10,100,1,1.3,0.048924731,1,1.5,2,100,132,1.32,100,1.32,32.061069
11,100,1,1.7,0.063978495,1,1.5,2,100,122,1.22,100,1.22,32.061069
12,100,1,1.9,0.071505376,1,1.5,2,100,116,1.16,100,1.16,32.061069
13,34,0.735294118,0.888888889,0.008661808,0.588235294,1,1,180,47.2,1.388235294,25,28.81355932,1.7349462
14,34,0.735294118,1,0.009744534,0.588235294,1,1,180,45.7,1.344117647,25,28.81355932,1.7349462
15,34,0.735294118,1.111111111,0.01082726,0.588235294,1,1,180,44.5,1.308823529,25,28.81355932,1.7349462
16,34,0.735294118,1.222222222,0.011909986,0.588235294,1,1,180,42.8,1.258823529,25,28.81355932,1.7349462
17,34,0.735294118,1.388888889,0.013534076,0.588235294,1,1,180,41.4,1.217647059,25,28.81355932,1.7349462
18,34,0.735294118,1.666666667,0.016240891,0.588235294,1,1,180,39.4,1.158823529,25,28.81355932,1.7349462
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
