Experiment,Orifice width (um),Aspect ratio,Flow rate ratio,New_ca_number,Normalized oil inlet,Normalized water inlet,Expansion ratio,Qin,Observed droplet diameter (um),Observed generation rate (Hz),Depth,Hyd_d,,viscosity ratio
24,22.5,1,1.666666667,1.110122081,1,1,1,240,28.688,5390.323047,22.5,22.5,,1.63392405
25,22.5,1,1.695652174,1.082369029,1,1,1,230,28.711,5153.321612,22.5,22.5,,1.63392405
26,22.5,1,1.717391304,1.096245555,1,1,1,230,28.506,5265.302925,22.5,22.5,,1.63392405
27,22.5,1,1.760869565,1.123998607,1,1,1,230,29.326,4835.859939,22.5,22.5,,1.63392405
28,22.5,1,1.782608696,1.137875133,1,1,1,230,28.321,5369.161317,22.5,22.5,,1.63392405
29,22.5,1,2.666666667,1.110122081,1,1,1,150,25.8,4631.658277,22.5,22.5,,1.63392405
30,22.5,1,2.105263158,1.110122081,1,1,1,190,27.195,5009.458465,22.5,22.5,,1.63392405
31,22.5,1,1.481481481,1.110122081,1,1,1,270,30.524,5034.354552,22.5,22.5,,1.63392405
32,22.5,1,1.217391304,0.777085457,1,1,1,230,30.751,4194.25156,22.5,22.5,,1.63392405
33,22.5,1,2.260869565,1.443158705,1,1,1,230,26.364,6655.769845,22.5,22.5,,1.63392405
34,22.5,1,2.782608696,1.776195329,1,1,1,230,25.532,7327.869008,22.5,22.5,,1.63392405
35,22.5,1,3.304347826,2.109231953,1,1,1,230,24.501,8292.410134,22.5,22.5,,1.63392405
36,22.5,1,1.625,1.082369029,1,1,1,240,29.167,5129.090067,22.5,22.5,,1.63392405
37,22.5,1,1.680851064,1.096245555,1,1,1,235,28.698,5272.509089,22.5,22.5,,1.63392405
38,22.5,1,1.8,1.123998607,1,1,1,225,28.434,5190.06754,22.5,22.5,,1.63392405
39,22.5,1,1.863636364,1.137875133,1,1,1,220,28.366,5111.316263,22.5,22.5,,1.63392405
40,22.5,1,3.2,1.332146497,1,1,1,150,24.848,5184.672309,22.5,22.5,,1.63392405
41,22.5,1,4.727272727,1.443158705,1,1,1,110,23.22,4659.189854,22.5,22.5,,1.63392405
42,22.5,1,2.315789474,1.221134289,1,1,1,190,27.09,5067.934047,22.5,22.5,,1.63392405
43,22.5,1,1.217391304,0.456519817,1,1,1,230,34.9,2869.167638,22.5,22.5,,1.73289657
44,22.5,1,1.333333333,0.58695405,1,1,1,270,33.448,3826.111915,22.5,22.5,,1.73289657
45,22.5,1,1.625,0.635866888,1,1,1,240,31.002,4271.166234,22.5,22.5,,1.73289657
46,22.5,1,2.666666667,0.652171167,1,1,1,150,28.435,3459.679991,22.5,22.5,,1.73289657
47,22.5,1,2.105263158,0.652171167,1,1,1,190,30.451,3568.233709,22.5,22.5,,1.73289657
48,22.5,1,1.739130435,0.652171167,1,1,1,230,31.587,3869.965233,22.5,22.5,,1.73289657
49,22.5,1,1.481481481,0.652171167,1,1,1,270,35.337,3244.734027,22.5,22.5,,1.73289657
50,22.5,1,1.863636364,0.668475446,1,1,1,220,30.525,4101.663533,22.5,22.5,,1.73289657
51,22.5,1,2.315789474,0.717388284,1,1,1,190,29.643,3868.044907,22.5,22.5,,1.73289657
52,22.5,1,3.2,0.782605401,1,1,1,150,27.992,3626.551417,22.5,22.5,,1.73289657
53,22.5,1,2.260869565,0.847822517,1,1,1,230,29.554,4724.799652,22.5,22.5,,1.73289657
54,22.5,1,2.782608696,1.043473867,1,1,1,230,28.206,5435.102013,22.5,22.5,,1.73289657
55,22.5,1,3.304347826,1.239125218,1,1,1,230,27.69,5744.646871,22.5,22.5,,1.73289657
56,22.5,1,1.666666667,0.251155279,1,1,1,240,26.497,6841.092979,22.5,22.5,,1.60899481
57,22.5,1,1.875,0.282549689,1,1,1,240,25.627,7561.749802,22.5,22.5,,1.60899481
58,22.5,1,1.642857143,0.288828571,1,1,1,280,27.09,7468.534385,22.5,22.5,,1.60899481
59,22.5,1,1.96,0.307665217,1,1,1,250,25.959,7578.45196,22.5,22.5,,1.60899481
60,22.5,1,3.571428571,0.313944099,1,1,1,140,23.22,5929.877996,22.5,22.5,,1.60899481
61,22.5,1,2.631578947,0.313944099,1,1,1,190,24.235,7078.298891,22.5,22.5,,1.60899481
62,22.5,1,2.040816327,0.313944099,1,1,1,245,25.832,7536.962543,22.5,22.5,,1.60899481
63,22.5,1,1.851851852,0.313944099,1,1,1,270,27.09,7201.801014,22.5,22.5,,1.60899481
64,22.5,1,1.666666667,0.313944099,1,1,1,300,27.146,7952.580777,22.5,22.5,,1.60899481
65,22.5,1,1.515151515,0.313944099,1,1,1,330,28.076,7907.015812,22.5,22.5,,1.60899481
66,22.5,1,2.217391304,0.320222981,1,1,1,230,24.519,8274.160552,22.5,22.5,,1.60899481
67,22.5,1,2.894736842,0.345338509,1,1,1,190,24.51,6842.708443,22.5,22.5,,1.60899481
68,22.5,1,2.291666667,0.345338509,1,1,1,240,24.559,8591.788407,22.5,22.5,,1.60899481
69,22.5,1,2.708333333,0.408127329,1,1,1,240,23.821,9415.332096,22.5,22.5,,1.60899481
70,22.5,1,2.916666667,0.439521739,1,1,1,240,23.22,10165.50514,22.5,22.5,,1.60899481
71,22.5,1,3.125,0.470916149,1,1,1,240,23.22,10165.50514,22.5,22.5,,1.60899481
72,22.5,1,3.333333333,0.502310559,1,1,1,240,23.22,10165.50514,22.5,22.5,,1.60899481
73,22.5,1,2.0625,0.310804658,1,1,1,240,26.197,7078.820991,22.5,22.5,,1.60899481
74,22.5,1,2.020408163,0.310804658,1,1,1,245,25.855,7516.866317,22.5,22.5,,1.60899481
75,22.5,1,2.173913043,0.313944099,1,1,1,230,25.8,7101.876025,22.5,22.5,,1.60899481
76,22.5,1,2.127659574,0.313944099,1,1,1,235,25.8,7256.264635,22.5,22.5,,1.60899481
77,22.5,1,2,0.313944099,1,1,1,250,25.37,8118.634232,22.5,22.5,,1.60899481
78,22.5,1,2.104166667,0.31708354,1,1,1,240,25.304,7855.034079,22.5,22.5,,1.60899481
79,22.5,1,2.125,0.320222981,1,1,1,240,25.395,7770.893532,22.5,22.5,,1.60899481
80,22.5,1,1.625,0.244876397,1,1,1,240,26.906,6533.835508,22.5,22.5,,1.60899481
81,22.5,1,1.717391304,0.248015838,1,1,1,230,27.039,6169.647155,22.5,22.5,,1.60899481
82,22.5,1,2.666666667,0.251155279,1,1,1,150,24.51,5402.138245,22.5,22.5,,1.60899481
83,22.5,1,1.818181818,0.251155279,1,1,1,220,26.885,6003.395108,22.5,22.5,,1.60899481
84,22.5,1,1.777777778,0.251155279,1,1,1,225,27.013,6052.968739,22.5,22.5,,1.60899481
85,22.5,1,1.739130435,0.251155279,1,1,1,230,27.09,6134.867531,22.5,22.5,,1.60899481
86,22.5,1,1.70212766,0.251155279,1,1,1,235,27.172,6211.656236,22.5,22.5,,1.60899481
87,22.5,1,1.666666667,0.251155279,1,1,1,240,27.423,6171.215599,22.5,22.5,,1.60899481
88,22.5,1,1.8,0.25429472,1,1,1,225,25.837,6917.682591,22.5,22.5,,1.60899481
89,22.5,1,1.760869565,0.25429472,1,1,1,230,27.045,6165.541812,22.5,22.5,,1.60899481
90,22.5,1,1.863636364,0.257434161,1,1,1,220,25.618,6938.912091,22.5,22.5,,1.60899481
91,22.5,1,1.782608696,0.257434161,1,1,1,230,26.721,6392.549263,22.5,22.5,,1.60899481
92,22.5,1,2.315789474,0.276270807,1,1,1,190,24.496,6854.447422,22.5,22.5,,1.60899481
93,22.5,1,2.260869565,0.326501863,1,1,1,230,26.154,6817.385403,22.5,22.5,,1.60899481
94,22.5,1,2.782608696,0.401848447,1,1,1,230,24.51,8283.278642,22.5,22.5,,1.60899481
95,22.5,1,1.4,0.024132619,1,1,1,250,30.796,4539.013186,22.5,22.5,,1.87289611
96,22.5,1,1.6,0.027580136,1,1,1,250,29.659,5081.300337,22.5,22.5,,1.87289611
97,22.5,1,1.76,0.030338149,1,1,1,250,28.38,5799.722361,22.5,22.5,,1.87289611
98,22.5,1,1.413793103,0.028269639,1,1,1,290,30.96,5182.025079,22.5,22.5,,1.87289611
99,22.5,1,1.592592593,0.029648646,1,1,1,270,30.28,5157.040241,22.5,22.5,,1.87289611
100,22.5,1,1.692307692,0.030338149,1,1,1,260,29.356,5449.881754,22.5,22.5,,1.87289611
101,22.5,1,1.78,0.030682901,1,1,1,250,28.38,5799.722361,22.5,22.5,,1.87289611
102,22.5,1,1.745098039,0.030682901,1,1,1,255,29.386,5328.722768,22.5,22.5,,1.87289611
103,22.5,1,2.142857143,0.031027653,1,1,1,210,27.919,5117.102156,22.5,22.5,,1.87289611
104,22.5,1,1.875,0.031027653,1,1,1,240,28.38,5567.733466,22.5,22.5,,1.87289611
105,22.5,1,1.836734694,0.031027653,1,1,1,245,28.448,5643.067369,22.5,22.5,,1.87289611
106,22.5,1,1.8,0.031027653,1,1,1,250,29.185,5332.922647,22.5,22.5,,1.87289611
107,22.5,1,1.764705882,0.031027653,1,1,1,255,28.393,5907.59483,22.5,22.5,,1.87289611
108,22.5,1,1.730769231,0.031027653,1,1,1,260,28.368,6039.36895,22.5,22.5,,1.87289611
109,22.5,1,1.285714286,0.031027653,1,1,1,350,30.96,6254.168199,22.5,22.5,,1.87289611
110,22.5,1,1.125,0.031027653,1,1,1,400,32.298,6295.604967,22.5,22.5,,1.87289611
111,22.5,1,1,0.031027653,1,1,1,450,33.125,6565.219058,22.5,22.5,,1.87289611
112,22.5,1,0.818181818,0.031027653,1,1,1,550,33.54,7729.971332,22.5,22.5,,1.87289611
113,22.5,1,0.692307692,0.031027653,1,1,1,650,36.046,7359.469167,22.5,22.5,,1.87289611
114,22.5,1,1.857142857,0.031372404,1,1,1,245,29.102,5271.108355,22.5,22.5,,1.87289611
115,22.5,1,1.82,0.031372404,1,1,1,250,28.38,5799.722361,22.5,22.5,,1.87289611
116,22.5,1,1.916666667,0.031717156,1,1,1,240,28.589,5446.515154,22.5,22.5,,1.87289611
117,22.5,1,1.84,0.031717156,1,1,1,250,28.351,5817.538034,22.5,22.5,,1.87289611
118,22.5,1,2.181818182,0.033096163,1,1,1,220,28.268,5164.660775,22.5,22.5,,1.87289611
119,22.5,1,2.5,0.03447517,1,1,1,200,27.469,5116.886882,22.5,22.5,,1.87289611
120,22.5,1,2.12,0.03654368,1,1,1,250,28.105,5971.639862,22.5,22.5,,1.87289611
121,22.5,1,2.6,0.044817721,1,1,1,250,27.059,6691.279165,22.5,22.5,,1.87289611
122,22.5,1,3,0.051712755,1,1,1,250,26.481,7139.06331,22.5,22.5,,1.87289611
123,22.5,1,3.4,0.058607789,1,1,1,250,25.662,7844.637422,22.5,22.5,,1.87289611
124,22.5,1,1.413793103,0.028269639,1,1,1,290,30.96,5182.025079,22.5,22.5,,1.87289611
125,22.5,1,1.592592593,0.029648646,1,1,1,270,30.28,5157.040241,22.5,22.5,,1.87289611
126,22.5,1,2.5,0.03447517,1,1,1,200,27.469,5116.886882,22.5,22.5,,1.87289611
127,22.5,1,1.25,0.019080223,1,1,1,200,35.55,2360.562747,22.5,22.5,,1.66890774
128,22.5,1,1.5,0.022896268,1,1,1,200,32.798,3006.022865,22.5,22.5,,1.66890774
129,22.5,1,0.857142857,0.022896268,1,1,1,350,35.636,4101.149133,22.5,22.5,,1.66890774
130,22.5,1,1.75,0.026712313,1,1,1,200,32.124,3199.23036,22.5,22.5,,1.66890774
131,22.5,1,1.166666667,0.026712313,1,1,1,300,33.192,4350.361611,22.5,22.5,,1.66890774
132,22.5,1,2,0.030528357,1,1,1,200,30.935,3582.481886,22.5,22.5,,1.66890774
133,22.5,1,1.6,0.030528357,1,1,1,250,30.866,4508.201526,22.5,22.5,,1.66890774
134,22.5,1,2.2,0.033581193,1,1,1,200,29.528,4119.383904,22.5,22.5,,1.66890774
135,22.5,1,2.095238095,0.033581193,1,1,1,210,29.146,4497.661654,22.5,22.5,,1.66890774
136,22.5,1,2.225,0.033962797,1,1,1,200,29.186,4265.8996,22.5,22.5,,1.66890774
137,22.5,1,2.170731707,0.033962797,1,1,1,205,29.774,4118.572142,22.5,22.5,,1.66890774
138,22.5,1,3,0.034344402,1,1,1,150,28.051,3603.716208,22.5,22.5,,1.66890774
139,22.5,1,2.368421053,0.034344402,1,1,1,190,28.989,4135.787981,22.5,22.5,,1.66890774
140,22.5,1,2.307692308,0.034344402,1,1,1,195,29.427,4057.896934,22.5,22.5,,1.66890774
141,22.5,1,2.25,0.034344402,1,1,1,200,29.464,4146.285918,22.5,22.5,,1.66890774
142,22.5,1,2.195121951,0.034344402,1,1,1,205,29.419,4269.475354,22.5,22.5,,1.66890774
143,22.5,1,2.142857143,0.034344402,1,1,1,210,29.658,4268.724049,22.5,22.5,,1.66890774
144,22.5,1,1.8,0.034344402,1,1,1,250,30.54,4654.11681,22.5,22.5,,1.66890774
145,22.5,1,1.5,0.034344402,1,1,1,300,31.149,5263.726277,22.5,22.5,,1.66890774
146,22.5,1,1.285714286,0.034344402,1,1,1,350,32.598,5357.960983,22.5,22.5,,1.66890774
147,22.5,1,2.333333333,0.034726006,1,1,1,195,29.61,3983.123367,22.5,22.5,,1.66890774
148,22.5,1,2.275,0.034726006,1,1,1,200,29.406,4170.868577,22.5,22.5,,1.66890774
149,22.5,1,2.421052632,0.035107611,1,1,1,190,27.935,4621.808452,22.5,22.5,,1.66890774
150,22.5,1,2.3,0.035107611,1,1,1,200,29.035,4332.802299,22.5,22.5,,1.66890774
151,22.5,1,3,0.045792536,1,1,1,200,28.534,4565.058986,22.5,22.5,,1.66890774
152,22.5,1,3.5,0.053424625,1,1,1,200,27.849,4910.271984,22.5,22.5,,1.66890774
153,22.5,1,4,0.061056714,1,1,1,200,26.542,5671.96353,22.5,22.5,,1.66890774
154,22.5,1,4.5,0.068688804,1,1,1,200,25.405,6468.100608,22.5,22.5,,1.66890774
155,22.5,1,5,0.076320893,1,1,1,200,24.944,6833.387843,22.5,22.5,,1.66890774
156,22.5,1,6,0.091585072,1,1,1,200,24.177,7504.592807,22.5,22.5,,1.66890774
157,22.5,1,1.75,0.672153635,1,1,1,200,27.208,5265.559293,22.5,22.5,,0.47027106
158,22.5,1,1.85,0.710562414,1,1,1,200,27.039,5364.91057,22.5,22.5,,0.47027106
159,22.5,1,1.857142857,0.748971193,1,1,1,210,26.984,5667.671609,22.5,22.5,,0.47027106
160,22.5,1,1.926829268,0.758573388,1,1,1,205,27.052,5491.109363,22.5,22.5,,0.47027106
161,22.5,1,2.666666667,0.768175583,1,1,1,150,25.626,4726.646925,22.5,22.5,,0.47027106
162,22.5,1,2.222222222,0.768175583,1,1,1,180,25.792,5563.163364,22.5,22.5,,0.47027106
163,22.5,1,2.105263158,0.768175583,1,1,1,190,25.8,5866.767151,22.5,22.5,,0.47027106
164,22.5,1,2,0.768175583,1,1,1,200,27.019,5376.83303,22.5,22.5,,0.47027106
165,22.5,1,1.818181818,0.768175583,1,1,1,220,27.071,5880.498626,22.5,22.5,,0.47027106
166,22.5,1,2.076923077,0.777777778,1,1,1,195,25.809,6014.858945,22.5,22.5,,0.47027106
167,22.5,1,2.025,0.777777778,1,1,1,200,26.937,5426.086158,22.5,22.5,,0.47027106
168,22.5,1,2.157894737,0.787379973,1,1,1,190,25.846,5835.498336,22.5,22.5,,0.47027106
169,22.5,1,2.05,0.787379973,1,1,1,200,26.564,5657.882833,22.5,22.5,,0.47027106
170,22.5,1,2.529411765,0.825788752,1,1,1,170,25.694,5314.447616,22.5,22.5,,0.47027106
171,22.5,1,3,0.864197531,1,1,1,150,24.702,5277.148014,22.5,22.5,,0.47027106
172,22.5,1,2.5,0.960219479,1,1,1,200,25.8,6175.54437,22.5,22.5,,0.47027106
173,22.5,1,2.75,1.056241427,1,1,1,200,24.51,7202.850993,22.5,22.5,,0.47027106
174,22.5,1,3,1.152263374,1,1,1,200,24.499,7212.557545,22.5,22.5,,0.47027106
175,22.5,1,3.75,1.440329218,1,1,1,200,23.611,8057.331289,22.5,22.5,,0.47027106
176,22.5,1,4.25,1.632373114,1,1,1,200,23.091,8614.025249,22.5,22.5,,0.47027106
177,22.5,1,4.75,1.82441701,1,1,1,200,21.875,10131.88331,22.5,22.5,,0.47027106
178,22.5,1,5.25,2.016460905,1,1,1,200,21.363,10877.96464,22.5,22.5,,0.47027106
179,22.5,1,6,2.304526749,1,1,1,200,20.807,11773.51016,22.5,22.5,,0.47027106
180,22.5,1,1.975,0.758573388,1,1,1,200,25.968,6056.46005,22.5,22.5,,0.47027106
181,22.5,1,7,1.942713641,1,1,1,100,22.42,4705.410788,22.5,22.5,,1.63392405
182,22.5,1,6,1.665183121,1,1,1,100,22.91,4409.903652,22.5,22.5,,1.63392405
183,22.5,1,4,1.110122081,1,1,1,100,24.78,3484.981384,22.5,22.5,,1.63392405
184,22.5,1,1.818181818,1.110122081,1,1,1,220,27.73,5471.135121,22.5,22.5,,1.63392405
185,22.5,1,1.454545455,0.888097665,1,1,1,220,29.87,4377.451889,22.5,22.5,,1.63392405
186,22.5,1,1.217391304,0.777085457,1,1,1,230,30.93,4121.852482,22.5,22.5,,1.63392405
187,30,1,4.333333333,1.014720964,1,1,1,150,31.6935,2498.532605,30,30,,1.63392405
188,30,1,3,0.702499129,1,1,1,150,32.8207,2249.842463,30,30,,1.63392405
189,30,1,2.333333333,0.546388212,1,1,1,150,33.6912,2079.91788,30,30,,1.63392405
190,30,1,1.285714286,0.702499129,1,1,1,350,38.7865,3180.758071,30,30,,1.63392405
191,30,1,1,0.546388212,1,1,1,350,42.0904,2488.990585,30,30,,1.63392405
192,15,1,6,1.873331011,1,1,1,50,15.5726,7020.870908,15,15,,1.63392405
193,15,1,4.923076923,1.998219745,1,1,1,65,15.6527,8987.728407,15,15,,1.63392405
194,15,1,3.333333333,1.561109176,1,1,1,75,16.7167,8513.614595,15,15,,1.63392405
195,15,1,2.5,1.561109176,1,1,1,100,17.5137,9871.215882,15,15,,1.63392405
196,15,1,2,1.248887341,1,1,1,100,18.5377,8324.09101,15,15,,1.63392405
197,15,1,2.5,1.404998258,1,1,1,90,18.8039,7177.993806,15,15,,1.63392405
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
