Experiment,Orifice width (um),Aspect ratio,Flow rate ratio,New_ca_number,Normalized oil inlet,Normalized water inlet,Expansion ratio,Qin,Observed droplet diameter (um),Observed generation rate (Hz),Depth,Hyd_d,,viscosity ratio
1,22.5,1,1.217391304,0.777085457,1,1,1,230,29.44,4779.899744,22.5,22.5,,1.63392405
2,22.5,1,1.695652174,1.082369029,1,1,1,230,27.314,5985.16723,22.5,22.5,,1.63392405
3,22.5,1,1.717391304,1.096245555,1,1,1,230,27.42,5916.022993,22.5,22.5,,1.63392405
4,22.5,1,3.636363636,1.110122081,1,1,1,110,24.51,3961.568046,22.5,22.5,,1.63392405
5,22.5,1,2.666666667,1.110122081,1,1,1,150,24.376,5491.71896,22.5,22.5,,1.63392405
6,22.5,1,2.105263158,1.110122081,1,1,1,190,25.867,5821.297308,22.5,22.5,,1.63392405
7,22.5,1,1.818181818,1.110122081,1,1,1,220,26.877,6008.757476,22.5,22.5,,1.63392405
8,22.5,1,1.777777778,1.110122081,1,1,1,225,26.923,6113.874689,22.5,22.5,,1.63392405
9,22.5,1,1.739130435,1.110122081,1,1,1,230,26.923,6249.738571,22.5,22.5,,1.63392405
10,22.5,1,1.8,1.123998607,1,1,1,225,26.924,6113.193477,22.5,22.5,,1.63392405
11,22.5,1,1.760869565,1.123998607,1,1,1,230,27.442,5901.805933,22.5,22.5,,1.63392405
12,22.5,1,1.863636364,1.137875133,1,1,1,220,27.09,5868.13416,22.5,22.5,,1.63392405
13,22.5,1,1.782608696,1.137875133,1,1,1,230,27.155,6090.918427,22.5,22.5,,1.63392405
14,22.5,1,2.315789474,1.221134289,1,1,1,190,25.384,6159.958585,22.5,22.5,,1.63392405
15,22.5,1,3.2,1.332146497,1,1,1,150,24.51,5402.138245,22.5,22.5,,1.63392405
16,22.5,1,4.727272727,1.443158705,1,1,1,110,21.93,5530.71346,22.5,22.5,,1.63392405
17,22.5,1,2.260869565,1.443158705,1,1,1,230,25.785,7114.277436,22.5,22.5,,1.63392405
18,22.5,1,2.782608696,1.776195329,1,1,1,230,24.51,8283.278642,22.5,22.5,,1.63392405
19,22.5,1,3.304347826,2.109231953,1,1,1,230,23.555,9332.1751,22.5,22.5,,1.63392405
20,22.5,1,1.739130435,1.110122081,1,1,1,230,28.783,5114.745531,22.5,22.5,,1.63392405
21,22.5,1,1.818181818,1.110122081,1,1,1,220,28.326,5133.000387,22.5,22.5,,1.63392405
22,22.5,1,1.777777778,1.110122081,1,1,1,225,28.372,5224.16678,22.5,22.5,,1.63392405
23,22.5,1,1.70212766,1.110122081,1,1,1,235,28.776,5229.750335,22.5,22.5,,1.63392405
